Number,Location,Author(s),Title,Publisher,Year,ISBN,Notes,Language,Resources,Related Materials,Media
641,Kilolo's office," Stanton, Frank"," Great Issues Lecture: Mass Media and Mass Culture at The Hopkins Center, Dartmouth College, November 26, 1962",New York: Columbia Broadcasting System,1963,OCLC: 216997566," Lectures
Mass media
Handwritten note on paper in marker: ""see p.40 - photo Richard Hunt w/ Hero Construction (1958); first African American to have a MoMA retrospective
Donated by Kary Arimoto-Mercer and Rick Mercer",English,https://archive.dartmouthalumnimagazine.com/article/1947/10/1/the-great-issues-course," See #480 Among Others:
Blackness at MoMA",Magazine article
642,Kilolo's office," Toker, Franklin",Pittsburgh: A New Portrait,Pittsburgh: University of Pittsburgh Press,2009," ISBN-13: 9780822943716
ISBN-10: 0822943719"," Pittsburgh
Architecture
Architectural history
Donated by Kary Arimoto-Mercer and Rick Mercer",English,,,
643,Kilolo's office," Zweite, Armin; translated by John Ormrod"," The Blue Rider in the Lenbachhaus, Munich:
Masterpieces by Franz Marc, Vassily
Kandinsky, Gabriele Munter, Alexei Jawlensky,
August Macke, Paul Klee",Munich: Prestel,1989," ISBN-13: 9783791308500
ISBN-10: 3791308505"," Modern art
German Expressionism
Donated by Kary Arimoto-Mercer and Rick Mercer",English,https://www.lenbachhaus.de/en/visit/exhibitions/details/the-blue-rider," See #640 Klee: A Study of His Life
and Work",Museum website
644,Kilolo's office," Tucker, Marcia",Mary Kelly: Interim,New York: New Museum of Contemporary Art,1990," ISBN-13: 9780915557677
ISBN-10: 0915557673"," Exhibition catalogue
Artist monograph Women artists
Donated by Kary Arimoto-Mercer and Rick Mercer",English," https://www.marykellyartist.
com/interim-1984-89 https://archive.newmuseum. org/exhibitions/192",," Artist website
Museum website"
645,Kilolo's office," Lipponcott, Louise and Andreas Blühm"," Fierce Friends: Artists and Animals, 1750-1900",London; New York: Merrell; Pittsburgh: Carnegie Museum of Art; Amsterdam: Van Gogh Museum,2005," ISBN-13: 9780880390460
ISBN-10: 0880390468"," Exhibition catalogue Carnegie Museum of Art Animals in art
Donated by Kary Arimoto-Mercer and Rick Mercer",English,https://carnegiemuseums.org/magazine- archive/2006/spring/feature1.html,,Magazine article
646,Kilolo's office," Lipponcott, Louise"," Panopticon: An Art spectacular: Carnegie Museum of Art Presents a Grand Display: Paintings, Sculpture, Decorative Arts, Prints, Drawings & Photographs from Pittsburgh, the United States and the Rest of the World
[Gallery Guide]",Pittsburgh: Carnegie Museum of Art,2002,OCLC: 51835323," Pittsburgh
Carnegie Museum of Art Exhibition guide",English,https://carnegiemuseums.org/magazine- archive/2002/sepoct/feat3.htm,,Magazine article
647,Kilolo's office," White, James J. and Elizabeth R. Smith"," Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 1 Plant Portraits, Artists
A-D"," Pittsburgh: Hunt Institute for Botanical ""Documentation, Carnegie Mellon
University""",1985," ISBN-13: 9780913196427
ISBN-10: 0913196428"," Reference
Pittsburgh
Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",English," https://www.huntbotanical.org/databases/?1

https://www.almalewis.org/artist/njena- surae-jarvis/"," See #647-#655, Catalogue of the ""Botantical Art Collection at the Hunt Insitute, Vols 1-9"""," Database
Alma Lewis website"
648,Kilolo's office," White, James J. and Elizabeth R. Smith"," Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 1 Plant Portraits, Artists A-D"," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon University",1987," ISBN-13: 9780913196427
ISBN-10: 0913196428"," Reference
Pittsburgh Botany
Botanical illustration
G iven by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",English," https://www.huntbotanical.org/databases/?1

https://www.almalewis.org/artist/njena- surae-jarvis/"," See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website"
649,Kilolo's office," White, James J. and Elizabeth R. Smith"," Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 3 Plant Portraits, Artists H"," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon University",1988," ISBN-13: 9780913196427
ISBN-10: 0913196428"," Reference
Pittsburgh Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",English,https://www.huntbotanical.org/databases/?1 https://www.almalewis.org/artist/njena- surae-jarvis/," See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website"
650,Kilolo's office," White, James J. and Elizabeth R. Smith"," Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 4 Plant Portraits, Artists I-0"," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon
University",1991," ISBN-13: 978091319642
 ISBN-10: 0913196428"," Reference
Pittsburgh
Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",English," https://www.huntbotanical.org/databases/?1
https://www.almalewis.org/artist/njena- surae-jarvis/"," See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website"
651,Kilolo's office," White, James J. and Elizabeth R. Smith"," Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 5 Plant Portraits, Artists P-S"," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon University",1994," ISBN-13: 9780913196427
ISBN-10: 0913196428"," Reference
Pittsburgh Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",English,https://www.huntbotanical.org/databases/?1 https://www.almalewis.org/artist/njena- surae-jarvis/," See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website"
652,Kilolo's office," White, James J. and Elizabeth R. Smith"," Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 6 Plant Portraits, Artists T-Z and Unknown"," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon
University",1995," ISBN-13: 9780913196427
ISBN-10: 0913196428"," Reference
Pittsburgh
Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",English," https://www.huntbotanical.org/databases/?1
https://www.almalewis.org/artist/njena- surae-jarvis/"," See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website"
653,Kilolo's office," White, James J. and Elizabeth R. Smith"," Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 7 Decorative, Horticultural and Non-Botanical Subjects, Supplement to Parts 1-6, Plant Portraits"," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon University",1998,ISBN-13: 9780913196427 ISBN-10: 0913196428," Reference
Pittsburgh Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",English,https://www.huntbotanical.org/databases/?1 https://www.almalewis.org/artist/njena- surae-jarvis/," See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website"
654,Kilolo's office," White, James J. and Elizabeth R. Smith"," Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 8 Index by Higher Taxa
to Parts 1-6 and Supplement, Plant Portraits"," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon
University",1998," ISBN-13: 9780913196427
ISBN-10: 0913196428"," Reference
Pittsburgh
Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",English," https://www.huntbotanical.org/databases/?1
https://www.almalewis.org/artist/njena- surae-jarvis/"," See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website"
655,Kilolo's office," White, James J. and Elizabeth R. Smith"," Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 9 Index by Genera to Parts 1-6 and Supplment, Plant Portraits"," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon University",1998," ISBN-13: 9780913196427
ISBN-10: 0913196428"," Reference
Pittsburgh
Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident;
Donated by Njena Surae Jarvis",English,https://www.huntbotanical.org/databases/?1 https://www.almalewis.org/artist/njena- surae-jarvis/," See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website"
656,D2,Blain N. Keisha,Set the World on Fire: Black Nationalist Women and the Global Struggle for Freedom,Philadelphia: University of Pennsylvania Press,2019," ISBN-13: 9780812224597
ISBN-10: 0812224590"," African American history
Gender studies
Black women's history Politics
Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",English," https://www.almalewis.org/exhibition/abdul-aziz-reclaiming-
echoess/ http://keishablain.com/",," Alma Lewis website
Author website"
657,D2," Delgado, James P.; Deborah E. Marx; Kyle Lent; Joseph Grinnan; and Alexander DeCaro",Clotilda: The History and Archaeology of the Last Slave Ship,Tuscaloosa: University of Alabama Press,2023," ISBN-13: 9780817321512
ISBN-10: 0817321519"," African Diaspora
Archaeology
Maritime history
Transatlantic slavery
Included in Alma Lewis exhib.
""Abdul Aziz, Reclaiming Echoes""",English," https://nmaahc.si.edu/explore/stories/clotilda-has-been-found
https://www.almalewis. org/exhibition/abdul-aziz-reclaiming-echoess/",," Museum website
Alma Lewis website"
658,D2," Robertson, Natalie S."," The Slave Ship Clotilda and the Making of AfricaTown, USA: Spirit of Our Ancestors",Westport: Praeger,2008," ISBN-13: 9780275994914
ISBN-10: 0275994910"," African Diaspora Maritime history Transatlantic slavery
Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",English," https://nmaahc.si.edu/explore/stories/clotilda-has-been- found
https://www.almalewis. org/exhibition/abdul-aziz-reclaiming- echoess/",," Museum website
Alma Lewis website"
659,D1," Lincoln, C. Eric and Lawrence H. Mamiya",The Black Church in the African American Experience,Durham: Duke University Press,1990," ISBN-13: 9780822310730
ISBN-10: 0822310732"," African American history Black Studies
Sociology Religion
Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",English,https://archives.nypl. org/scm/21071#overview https://www.almalewis. org/exhibition/abdul-aziz-reclaiming- echoess/,,Archival collection
660,Kilolo's office," Cunningham, Stephen Kittredge",The Bartender's Black Book 7th Edition," 7th ed. Brockton: The Bartender's Black Book Co., Inc.",2004," ISBN-13: 9780965774642
ISBN-10: 0965774643",Handbook Manual Food Cocktails,English,,,
661,Kilolo's office," Serano, Julia",Excluded: Making Feminist and Queer Movements More Inclusive,New York: Seal Press,2013," ISBN-13: 9781580055048
ISBN-10: 1580055044"," Women's Studies Gender Studies Queer Studies Feminism
Politics
Donated by Kary Arimoto-Mercer and Rick Mercer",English,https://www.juliaserano.com/,,Author website
662,Kilolo's office," Centeno, Israel",Exilio en Bowery,New York: Sudaquia Editores,2021," ISBN-13: 9781944407728
ISBN-10: 1944407723"," Literature Migration Exile
Donated by Camila Centeno Bonet's father, Israel Centeno
Signed by the author",Spanish,https://sudaquia.net/product/exilio-en- bowery-es/,,Publisher website
663,Kilolo's office," Centeno, Israel",Escrito con Acento (Written with an Accent),Caracas: Editorial Lector Cómplice,2020,ISBN-13: 9789804290190," Literature Essays
Donated by Camila Centeno Bonet's father, Israel Centeno
Signed by the author",English (translated from Spanish),,,
664,Kilolo's office," Centeno, Israel",Jinete a pie,2nd ed. Caracas: Editorial Lector Cómplice,2015,IBSN-10: 9789807477314," Literature Fiction
Donated by Camila Centeno Bonet's father, Israel Centeno
Signed by the author",Spanish,,,
665,Kilolo's office," Goldberg, Natalie"," Writing Down the Bones: Freeing the Writer
Within",Boston; London: Shambhala,1998," ISBN-13: 9781570624247
ISBN-10: 1570624240"," Essays
Writing",English,,,
666,Kilolo's office," Stearns, Marshall",The Story of Jazz,New York: New American Library,1958,OCLC: 2195604," African American history
Jazz Music
Originally published in 1956 by Oxford University Press",English,,,
667,Kilolo's office," Korankye, Charles M.",Adinkra Alphabet: The Adinkra Symbols As Alphabets & Their Hidden Meanings,3rd ed. No location identified: Adinkra Alphabet LLC.,2017," ISBN-13: 9780996523394
ISBN-10: 0996523391",Reference Dictionary Symbols African culture,English,,See #38 The Adinkra Dictionary: A Visual Primer on the Language of Adinkra,
668,Kilolo's office," Amussen, Jasmine, ed.",Where I'm Calling From,Atlanta: Burnaway,2022," ISBN-13: 9781736101216
ISBN-10: 1736101218",Anthology Essays,English,https://burnaway.org/the-reader/,,Publisher website
669,Kilolo's office," Kee, Joan",The Geometries of Afro Asia: Art beyond Solidarity,Oakland: University of California Press,2023," ISBN-13: 9780520392458
ISBN-10: 0520392450",Art History Contemporary art African Diaspora Asian art,English,,,
670,Kilolo's office," Davis, John; Suzannah Fabing; and Barbara Polowy",Image and Word: Art and Art History at Smith,Northampton: Smith College,2003," ISBN-13: 9780873910521
ISBN-10: 0873910524"," Art History Higher education Women artists Museums
Architecture",English,https://www.smith.edu/bfac/ https://scma.smith.edu/,,College website Museum website
671,Kilolo's office," Pemberton, John, III",African Beaded Art: Power and Adornment,Northampton: Smith College Museum of Art,2008," ISBN-13: 9780873910583
ISBN-10: 0873910583",African art Exhibition catalogue Decorative arts,English,,,
672,Kilolo's office," Ossei-Mensah, Larry",Ontology,New York; East Hampton: R+K Gallery,2022,ISBN-13: 9798987502105," Exhibition catalogue Contemporary art
Features Alma Lewis artist-in- residence Yaw Owusu
Signed by Yaw Owusu
edition 73/200",English,https://rkgallery. com/exhibition/ontology https://www.almalewis.org/artist/yaw- owusu/,,Gallery website Alma Lewis website
673,Kilolo's office," Diouf, Sylviane A.",Dreams of Africa in Alabama: The Slave Ship Clotilda and the Story of the Last Africans Brought to America,Oxford: Oxford University Press,2009," ISBN-13: 9780195382938
ISBN-10: 0195382935"," African American history African Diaspora Transatlantic slavery
Alabama",English,https://www.sylvianediouf.com/,,Author website
